,city_name,date,latitude,longitude,temp,humidity,cloudiness,wind,country
137,georgetown,1600658193,5.41,100.34,84.96,79,20,5.82,MY
138,nikki,1600658448,9.94,3.21,68.58,94,73,4.12,BJ
139,toronto,1600658115,43.7,-79.42,51.48,54,1,4.7,CA
140,chokurdakh,1600658190,70.63,147.92,47.82,61,0,12.59,RU
141,soyo,1600658449,-6.13,12.37,72.68,85,100,8.05,AO
142,praia da vitoria,1600658264,38.73,-27.07,65.66,82,75,14.2,PT
143,kahului,1600658298,20.89,-156.47,81.05,49,40,21.92,US
144,ilulissat,1600658199,69.22,-51.1,28.4,92,100,7.09,GL
145,manassas,1600658179,38.75,-77.48,48.67,93,1,3.83,US
146,maraa,1600658450,-1.83,-65.37,79.45,65,86,2.66,BR
147,verkhoyansk,1600658450,67.54,133.38,54.0,50,0,2.39,RU
148,leshukonskoye,1600658450,64.9,45.76,37.29,95,100,4.83,RU
149,castro,1600658196,-24.79,-50.01,54.37,90,86,10.76,BR
150,coahuayana,1600658451,18.73,-103.68,79.43,83,100,3.04,MX
151,kavieng,1600657913,-2.57,150.8,85.08,73,81,12.64,PG
152,salalah,1600658293,17.02,54.09,78.8,88,75,3.36,OM
153,kirensk,1600658451,57.79,108.11,46.89,82,96,2.19,RU
154,weinan,1600658452,34.5,109.51,60.8,87,90,4.47,CN
155,avera,1600658452,33.19,-82.53,61.27,87,1,5.82,US
156,sechura,1600658452,-5.56,-80.82,63.05,83,87,10.8,PE
157,minggang,1600658453,32.46,114.05,60.91,83,100,9.08,CN
158,lieksa,1600658453,63.32,30.02,45.23,86,10,14.09,FI
159,gharghoda,1600658350,22.17,83.35,76.66,91,99,6.26,IN
160,narsaq,1600658362,60.92,-46.05,33.8,64,98,8.05,GL
161,goderich,1600658256,43.75,-81.72,47.68,75,0,15.75,CA
162,joshimath,1600658349,30.57,79.57,72.16,29,0,2.04,IN
163,leningradskiy,1600658288,69.38,178.42,35.98,83,96,13.27,RU
164,hasaki,1600658292,35.73,140.83,72.54,83,75,4.7,JP
165,marawi,1600658264,8.0,124.29,86.0,73,100,8.01,PH
166,ostrovnoy,1600658279,68.05,39.51,40.5,91,100,7.25,RU
167,tromso,1600658454,69.65,18.96,44.6,81,75,32.21,NO
168,at-bashi,1600658455,41.17,75.81,48.0,74,0,0.67,KG
169,trinidad,1600658455,-14.83,-64.9,76.71,53,47,3.44,BO
170,mezhdurechensk,1600658455,53.69,88.06,59.43,62,5,2.66,RU
171,changji,1600658455,44.02,87.32,64.4,39,95,4.47,CN
172,nuuk,1600657693,64.18,-51.72,33.8,88,96,11.41,GL
173,nantucket,1600658456,41.28,-70.1,54.72,50,1,12.75,US
174,urengoy,1600658456,65.97,78.37,51.31,84,100,19.08,RU
175,phan thiet,1600658203,10.93,108.1,85.53,69,13,5.08,VN
176,iracoubo,1600658290,5.48,-53.2,80.19,85,0,8.63,GF
177,gbarnga,1600658457,7.0,-9.47,69.42,99,99,1.32,LR
178,jilin,1600658457,43.0,126.0,60.35,69,21,3.04,CN
179,baykit,1600658457,61.67,96.37,46.92,76,51,3.2,RU
180,daru,1600658458,-9.08,143.21,80.56,77,100,12.95,PG
181,luderitz,1600658330,-26.65,15.16,56.95,66,25,23.38,NA
182,meulaboh,1600658458,4.14,96.13,84.9,61,100,3.36,ID
183,kuruman,1600658458,-27.45,23.43,48.0,43,71,11.32,ZA
184,lapua,1600658459,62.97,23.01,43.02,92,63,1.01,FI
185,tobol,1600658459,52.68,62.58,44.55,78,1,15.28,KZ
186,sur,1600658246,22.57,59.53,85.46,59,2,1.54,OM
187,codrington,1600658190,-38.27,141.97,60.03,62,0,21.18,AU
188,evensk,1600658210,61.95,159.23,45.73,55,76,7.29,RU
189,jalu,1600657970,29.03,21.55,69.39,61,0,7.83,LY
190,keti bandar,1600658460,24.14,67.45,85.05,71,96,7.76,PK
191,saint-pierre,1600658185,-21.34,55.48,62.38,64,50,9.17,RE
192,mackay,1600658460,-21.15,149.2,81.28,69,47,12.75,AU
193,kumluca,1600658461,36.37,30.29,75.65,59,0,1.61,TR
194,nyaunglebin,1600658461,17.95,96.73,82.96,86,99,10.33,MM
195,broken hill,1600658461,-31.95,141.43,66.2,25,15,16.11,AU
196,pamplona,1600658461,42.82,-1.64,59.5,87,27,4.0,ES
197,port blair,1600658462,11.67,92.75,84.07,77,100,19.17,IN
198,broome,1600658340,42.25,-75.83,38.77,100,0,1.83,US
199,bethel,1600658062,41.37,-73.41,42.39,86,1,4.7,US
200,lasa,1600658213,46.62,10.7,46.22,100,90,0.51,IT
201,sabang,1600658462,5.89,95.32,84.2,69,99,4.0,ID
202,amapa,1600658463,1.0,-52.0,74.91,87,0,4.68,BR
203,hobart,1600657928,-42.88,147.33,62.8,39,20,18.34,AU
204,velsk,1600658464,61.07,42.1,42.87,94,100,7.81,RU
205,pevek,1600658287,69.7,170.31,36.77,81,100,10.83,RU
206,capaccio,1600658464,40.42,15.08,66.99,82,44,1.01,IT
207,arkhangelsk,1600658464,64.54,40.54,41.0,100,90,4.47,RU
208,alofi,1600658248,-19.06,-169.92,75.2,88,75,13.87,NU
209,college,1600658241,64.86,-147.8,46.72,53,75,1.43,US
210,anloga,1600658465,5.79,0.9,77.0,88,75,6.93,GH
211,sitka,1600658280,57.05,-135.33,51.8,76,90,16.11,US
212,nishihara,1600658466,26.18,127.76,80.53,74,75,17.22,JP
213,komsomolskiy,1600658184,40.43,71.72,59.0,44,0,4.7,UZ
214,zabol,1600658370,32.25,67.25,66.24,22,0,5.44,AF
215,llandrindod wells,1600658466,52.24,-3.38,48.97,98,1,1.7,GB
216,coquimbo,1600658212,-29.95,-71.34,53.6,87,5,4.7,CL
217,trelew,1600658467,-43.25,-65.31,41.54,67,0,7.11,AR
218,touros,1600658275,-5.2,-35.46,77.0,83,40,11.41,BR
219,caucaia,1600658213,-3.74,-38.65,78.39,78,40,12.75,BR
220,fairbanks,1600658176,64.84,-147.72,46.96,57,40,1.43,US
221,parabel,1600658468,58.7,81.48,55.56,74,100,12.55,RU
222,puerto ayora,1600658202,-0.74,-90.35,66.24,89,100,8.84,EC
223,vardo,1600658247,70.37,31.11,35.6,93,16,4.7,NO
224,erenhot,1600658468,43.65,111.98,56.37,42,0,12.48,CN
225,camacha,1600657927,33.08,-16.33,69.8,83,20,2.24,PT
226,cayenne,1600658079,4.93,-52.33,77.0,100,0,8.77,GF
227,adrar,1600658273,20.5,-10.07,85.17,50,96,16.44,MR
228,isangel,1600658227,-19.55,169.27,75.07,69,4,13.8,VU
229,santo nino,1600658469,6.43,124.7,87.8,62,20,4.7,PH
230,san jeronimo,1600658470,-11.95,-75.28,53.01,63,100,2.06,PE
231,khandyga,1600658470,62.67,135.6,57.85,49,11,2.26,RU
232,lianzhou,1600658470,24.78,112.38,83.1,77,91,0.69,CN
233,abashiri,1600658471,44.02,144.27,68.49,64,75,9.17,JP
234,hambantota,1600658471,6.12,81.12,78.8,100,20,6.93,LK
235,bathsheba,1600658221,13.22,-59.52,82.4,83,20,8.05,BB
236,kodiak,1600658255,57.79,-152.41,51.8,71,1,11.41,US
237,ko samui,1600658462,9.54,99.94,87.8,70,20,5.82,TH
238,los llanos de aridane,1600658472,28.66,-17.92,70.74,78,9,9.17,ES
239,provost,1600658472,52.35,-110.27,57.04,56,100,12.37,CA
240,port elizabeth,1600658195,-33.92,25.57,53.6,81,20,16.11,ZA
241,medicine hat,1600658472,50.05,-110.67,56.21,76,40,6.93,CA
242,tessalit,1600658291,20.2,1.01,86.68,16,0,9.53,ML
243,kribi,1600658473,2.95,9.92,75.63,89,82,4.23,CM
244,sheboygan,1600658402,43.73,-87.93,54.77,87,1,8.57,US
245,padang,1600658057,-0.95,100.35,80.04,79,94,3.2,ID
246,los cedrales,1600658474,-25.65,-54.7,63.16,63,87,6.93,PY
247,serenje,1600658474,-13.23,30.24,56.95,58,0,3.44,ZM
248,makat,1600658475,47.65,53.35,50.4,60,0,14.16,KZ
249,buala,1600658236,-8.14,159.59,84.92,72,55,3.69,SB
250,port-cartier,1600658475,50.03,-66.87,28.4,92,5,6.91,CA
251,thompson,1600657877,55.74,-97.86,64.4,72,75,2.24,CA
252,along,1600658476,28.17,94.77,84.29,61,42,0.36,IN
253,neepawa,1600658476,50.23,-99.47,59.0,87,90,13.87,CA
254,hithadhoo,1600658202,-0.6,73.08,81.28,80,98,15.7,MV
255,shingu,1600658477,33.73,135.98,80.6,47,20,11.41,JP
256,great yarmouth,1600658477,52.61,1.73,52.27,93,0,3.36,GB
257,torbay,1600658188,47.67,-52.73,39.4,86,40,5.82,CA
258,russell,1600658283,32.35,-85.2,64.96,68,1,5.82,US
259,cockburn town,1600658201,21.46,-71.14,83.39,67,73,5.88,TC
260,zhigansk,1600658267,66.77,123.37,49.98,55,0,6.35,RU
261,duldurga,1600658478,50.68,113.59,50.16,62,23,13.91,RU
262,ajaccio,1600658478,42.0,8.92,64.4,82,20,6.93,FR
263,asosa,1600658479,10.07,34.53,61.27,95,91,4.7,ET
264,nizhnyaya poyma,1600658479,56.16,97.19,53.94,87,100,5.41,RU
265,richards bay,1600658213,-28.78,32.04,67.55,69,100,17.69,ZA
266,saldanha,1600658186,-33.01,17.94,42.8,81,49,4.7,ZA
267,palu,1600658151,-0.89,119.87,89.6,56,12,2.95,ID
268,bambous virieux,1600658200,-20.34,57.76,72.72,73,40,17.22,MU
269,port augusta,1600658480,-32.5,137.77,67.69,28,0,25.28,AU
270,clyde river,1600658269,70.47,-68.59,19.4,100,40,4.7,CA
271,itarema,1600658481,-2.92,-39.92,77.61,82,13,15.79,BR
272,kenai,1600658481,60.55,-151.26,50.94,71,20,8.05,US
273,hellvik,1600658481,59.92,5.78,53.28,92,100,4.0,NO
274,cravo norte,1600658481,6.3,-70.2,75.13,91,97,1.45,CO
275,tuktoyaktuk,1600658182,69.45,-133.04,35.6,80,90,18.34,CA
276,ayan,1600658482,56.45,138.17,52.74,77,96,5.39,RU
277,longyearbyen,1600658229,78.22,15.64,35.6,69,75,19.46,SJ
278,mendez,1600658483,14.13,120.91,91.4,59,20,6.93,PH
279,cocobeach,1600658483,1.0,9.58,73.4,94,75,6.93,GA
280,kavaratti,1600658245,10.57,72.64,81.54,79,100,25.61,IN
281,prince george,1600658408,53.92,-122.75,54.46,81,90,10.29,CA
282,necochea,1600658242,-38.55,-58.74,46.0,72,64,8.99,AR
283,bayan,1600658484,46.08,127.4,59.77,64,1,1.54,CN
284,umm kaddadah,1600658484,13.6,26.69,82.83,55,100,10.47,SD
285,bandarbeyla,1600658214,9.49,50.81,76.71,75,18,24.16,SO
286,povenets,1600658485,62.85,34.83,45.05,89,100,12.26,RU
287,flinders,1600658192,-34.58,150.86,82.99,60,0,8.01,AU
288,sept-iles,1600658462,50.2,-66.38,28.4,92,5,6.06,CA
289,peace river,1600658420,56.25,-117.29,51.8,62,75,13.87,CA
290,madera,1600658485,37.17,-119.83,68.58,43,15,4.27,US
291,tezu,1600658259,27.92,96.17,94.17,42,2,2.37,IN
292,poletayevo,1600658486,55.03,61.11,37.4,100,75,17.9,RU
293,jiayuguan,1600658487,39.82,98.3,57.47,71,100,1.81,CN
294,northam,1600658238,51.03,-4.22,55.63,93,0,1.99,GB
295,oyama,1600658487,36.3,139.8,77.92,64,75,6.93,JP
296,sao joao da barra,1600658233,-21.64,-41.05,70.7,89,99,11.63,BR
297,tam ky,1600658488,15.57,108.48,84.2,79,75,1.12,VN
298,tura,1600658236,25.52,90.22,75.34,97,65,7.94,IN
299,sanming,1600658488,26.25,117.62,80.47,73,84,3.65,CN
300,salina cruz,1600658488,16.17,-95.2,80.29,64,44,16.89,MX
301,tevriz,1600658489,57.51,72.4,53.04,66,26,9.93,RU
302,kalamazoo,1600658489,42.25,-85.55,53.46,50,1,5.82,US
303,afsin,1600658490,38.25,36.91,49.73,70,75,0.34,TR
304,bandar-e anzali,1600658462,37.47,49.46,71.6,88,90,4.23,IR
305,disa,1600658490,24.25,72.17,84.22,79,85,9.89,IN
306,ligayan,1600658490,4.65,119.47,84.45,69,70,6.26,PH
307,tuatapere,1600658270,-46.13,167.68,64.0,41,91,8.99,NZ
308,west wendover,1600658328,40.74,-114.07,69.8,30,1,3.38,US
309,yerbogachen,1600658491,61.28,108.01,46.08,74,66,4.47,RU
310,bud,1600658492,39.45,-86.18,52.21,81,1,7.81,US
311,korcula,1600658492,42.96,17.14,59.0,77,87,2.24,HR
312,chabahar,1600658493,25.29,60.64,50.0,40,42,5.75,IR
313,hofn,1600658493,64.25,-15.21,43.99,60,0,10.92,IS
314,epinal,1600658493,48.18,6.45,49.96,93,28,1.07,FR
315,eirunepe,1600658494,-6.66,-69.87,74.88,93,100,3.04,BR
316,aksarka,1600658248,66.56,67.8,47.35,93,100,12.93,RU
317,carballo,1600658494,43.21,-8.69,61.45,100,90,1.12,ES
318,vylkove,1600658494,45.4,29.59,60.24,66,0,7.63,UA
319,north bend,1600658341,43.41,-124.22,62.19,82,1,8.05,US
320,srikakulam,1600658466,18.3,83.9,81.72,82,100,3.6,IN
321,novobureyskiy,1600658495,49.8,129.88,59.11,69,60,1.63,RU
322,kautokeino,1600658322,69.01,23.04,35.22,87,80,14.07,NO
323,tucurui,1600658496,-3.77,-49.67,78.91,75,48,4.41,BR
324,aleppo,1600658496,36.25,37.5,65.71,64,0,7.2,SY
325,usogorsk,1600658496,63.41,48.69,34.29,93,100,5.21,RU
326,namatanai,1600657912,-3.67,152.43,86.47,64,52,6.62,PG
327,ust-nera,1600658497,64.57,143.2,49.78,47,0,1.41,RU
328,molina,1600658497,-35.12,-71.28,55.4,82,0,2.24,CL
329,chara,1600658498,56.91,118.26,47.43,78,100,1.45,RU
330,vizinga,1600658498,61.07,50.1,33.64,94,100,5.91,RU
331,prince rupert,1600658299,54.32,-130.32,51.8,93,90,6.93,CA
332,kensington,1600658498,-33.92,151.22,81.32,54,1,19.46,AU
333,uyutne,1600658499,45.2,33.3,59.63,59,0,13.47,UA
334,korla,1600658327,41.76,86.15,65.98,38,0,6.64,CN
335,starokozache,1600658499,46.34,29.99,62.29,55,56,8.95,UA
336,havre-saint-pierre,1600658211,50.23,-63.6,35.6,93,1,4.7,CA
337,bitung,1600658500,1.45,125.18,91.4,52,20,6.93,ID
338,bonavista,1600658500,48.65,-53.11,46.02,69,3,7.7,CA
339,gobabis,1600658500,-22.45,18.97,53.15,34,0,8.46,NA
340,raudeberg,1600658347,61.99,5.14,57.0,89,100,40.35,NO
341,san javier,1600658501,37.81,-0.84,68.77,77,100,4.7,ES
342,corowa,1600658501,-36.03,146.38,66.99,82,99,1.01,AU
343,ouesso,1600658502,1.61,16.05,69.06,97,89,2.77,CG
344,zacualpan,1600658502,21.25,-105.17,79.97,88,75,3.36,MX
345,ambanja,1600658502,-13.68,48.45,68.83,82,0,3.22,MG
346,luena,1600658286,-11.78,19.92,64.08,66,1,3.24,AO
347,hirara,1600658503,24.8,125.28,86.0,70,40,17.22,JP
348,bhavnagar,1600658503,21.77,72.15,82.96,79,100,8.08,IN
349,kangaatsiaq,1600658503,68.31,-53.46,35.29,85,100,6.76,GL
350,hovd,1600658504,48.01,91.64,52.83,42,12,1.68,MN
351,filingue,1600658504,14.35,3.32,82.56,72,100,13.09,NE
352,ust-tsilma,1600658197,65.44,52.15,32.43,97,63,6.6,RU
353,mangai,1600658505,-4.05,19.53,70.29,96,100,2.26,CD
354,kieta,1600658199,-6.22,155.63,84.27,73,91,6.33,PG
355,kokopo,1600658505,-4.35,152.26,86.68,62,58,10.07,PG
356,krasnorechenskiy,1600658505,44.63,135.35,59.5,64,66,3.58,RU
357,insar,1600658506,53.87,44.37,40.14,87,97,10.54,RU
358,naze,1600658506,28.37,129.48,82.4,74,75,21.92,JP
359,faya,1600658271,18.39,42.45,62.6,27,31,4.21,SA
360,greeley,1600658507,40.42,-104.71,68.67,37,1,12.75,US
361,kaitangata,1600658222,-46.28,169.85,57.0,69,0,1.99,NZ
362,kununurra,1600658251,-15.77,128.73,96.8,37,40,6.93,AU
363,gazimurskiy zavod,1600658508,51.55,118.33,50.25,80,99,5.19,RU
364,fort frances,1600658508,48.6,-93.4,63.18,59,40,6.93,CA
365,sioux lookout,1600658140,50.1,-91.92,62.6,63,90,9.17,CA
366,dothan,1600658509,31.22,-85.39,66.87,77,90,9.17,US
367,jaciara,1600658344,-15.97,-54.97,76.86,56,100,1.5,BR
368,palmer,1600658509,42.16,-72.33,38.16,70,1,2.68,US
369,bethanien,1600658510,-26.5,17.16,41.61,81,1,3.78,NA
370,batagay,1600658510,67.63,134.63,54.68,51,0,2.35,RU
371,makakilo city,1600658510,21.35,-158.09,81.57,54,75,12.75,US
